period,product_id,fixed_cost,purchase_cost,holding_cost,stockout_cost,holding_cost_gradient,stockout_cost_gradient
1,0,0.0,0.0,0.0,0.829198698154757,0.0,-6.0
2,0,0.0,0.0,0.0,0.7865681756772189,0.0,-6.0
3,0,0.0,0.0,0.3982841246872578,0.0,1.0,0.0
4,0,0.0,0.0,0.21105959418249742,0.0,1.0,0.0
5,0,0.0,0.0,0.0,0.7074447350831758,0.0,-6.0
6,0,0.0,0.0,0.06904049824871772,0.0,1.0,0.0
7,0,0.0,0.0,0.0,0.8120228550312167,0.0,-6.0
8,0,0.0,0.0,0.13872710751452377,0.0,1.0,0.0
9,0,0.0,0.0,0.0,0.13375912171549253,0.0,-6.0
10,0,0.0,0.0,0.6843285348539419,0.0,1.0,0.0
11,0,0.0,0.0,0.7819094937892599,0.0,1.0,0.0
12,0,0.0,0.0,0.7409819809762631,0.0,1.0,0.0
13,0,0.0,0.0,0.05385148728526179,0.0,1.0,0.0
14,0,0.0,0.0,0.1328368425364257,0.0,1.0,0.0
15,0,0.0,0.0,0.7122253828085144,0.0,1.0,0.0
16,0,0.0,0.0,0.8504138028503807,0.0,1.0,0.0
17,0,0.0,0.0,0.011970950242446987,0.0,1.0,0.0
18,0,0.0,0.0,0.0,0.30565745681802436,0.0,-6.0
19,0,0.0,0.0,0.1810046989967099,0.0,1.0,0.0
20,0,0.0,0.0,0.025756182313881215,0.0,1.0,0.0
21,0,0.0,0.0,0.4605249642249355,0.0,1.0,0.0
22,0,0.0,0.0,0.5794064754965538,0.0,1.0,0.0
23,0,0.0,0.0,0.7925976562943124,0.0,1.0,0.0
24,0,0.0,0.0,0.0,0.6297986778870208,0.0,-6.0
25,0,0.0,0.0,0.0,0.7060903440209052,0.0,-6.0
26,0,0.0,0.0,0.6376378015890056,0.0,1.0,0.0
27,0,0.0,0.0,0.0872207701229204,0.0,1.0,0.0
28,0,0.0,0.0,0.515689821723948,0.0,1.0,0.0
29,0,0.0,0.0,0.7202286321387841,0.0,1.0,0.0
30,0,0.0,0.0,0.5386364599511457,0.0,1.0,0.0
31,0,0.0,0.0,0.0,0.5464114088040533,0.0,-6.0
32,0,0.0,0.0,0.18055853562067092,0.0,1.0,0.0
33,0,0.0,0.0,0.7235342503596757,0.0,1.0,0.0
34,0,0.0,0.0,0.0,0.14425873466665973,0.0,-6.0
35,0,0.0,0.0,0.6031490686471068,0.0,1.0,0.0
36,0,0.0,0.0,0.0,0.7204465950193168,0.0,-6.0
37,0,0.0,0.0,0.0,0.6074056781661743,0.0,-6.0
38,0,0.0,0.0,0.3874303723573871,0.0,1.0,0.0
39,0,0.0,0.0,0.056397274774785955,0.0,1.0,0.0
40,0,0.0,0.0,0.7101577654736828,0.0,1.0,0.0
41,0,0.0,0.0,0.3454499149229754,0.0,1.0,0.0
42,0,0.0,0.0,0.28937591243155536,0.0,1.0,0.0
43,0,0.0,0.0,0.5752153007663586,0.0,1.0,0.0
44,0,0.0,0.0,0.44749955803187547,0.0,1.0,0.0
45,0,0.0,0.0,0.23042580813643887,0.0,1.0,0.0
46,0,0.0,0.0,0.8110867196562012,0.0,1.0,0.0
47,0,0.0,0.0,0.7689181263395198,0.0,1.0,0.0
48,0,0.0,0.0,0.2199596573796606,0.0,1.0,0.0
49,0,0.0,0.0,0.3663598001500512,0.0,1.0,0.0
50,0,0.0,0.0,0.28943169148923076,0.0,1.0,0.0
51,0,0.0,0.0,0.7205255484821842,0.0,1.0,0.0
52,0,0.0,0.0,0.1000451854160237,0.0,1.0,0.0
53,0,0.0,0.0,0.0,0.8292554094539377,0.0,-6.0
54,0,0.0,0.0,0.4539785773006777,0.0,1.0,0.0
55,0,0.0,0.0,0.22122826304030951,0.0,1.0,0.0
56,0,0.0,0.0,0.8394947052211367,0.0,1.0,0.0
57,0,0.0,0.0,0.693513477843824,0.0,1.0,0.0
58,0,0.0,0.0,0.5032444739715254,0.0,1.0,0.0
59,0,0.0,0.0,0.7024492643833196,0.0,1.0,0.0
60,0,0.0,0.0,0.26707455854524864,0.0,1.0,0.0
61,0,0.0,0.0,0.6611303170367493,0.0,1.0,0.0
62,0,0.0,0.0,0.5797417609110327,0.0,1.0,0.0
63,0,0.0,0.0,0.3637990213901783,0.0,1.0,0.0
64,0,0.0,0.0,0.1950762468001288,0.0,1.0,0.0
65,0,0.0,0.0,0.0,0.8249777698634295,0.0,-6.0
66,0,0.0,0.0,0.5587159146355228,0.0,1.0,0.0
67,0,0.0,0.0,0.37206390872272344,0.0,1.0,0.0
68,0,0.0,0.0,0.6122628352705505,0.0,1.0,0.0
69,0,0.0,0.0,0.0,0.2829946240387393,0.0,-6.0
70,0,0.0,0.0,0.5944515012153252,0.0,1.0,0.0
71,0,0.0,0.0,0.28141056024134903,0.0,1.0,0.0
72,0,0.0,0.0,0.4705170659163469,0.0,1.0,0.0
73,0,0.0,0.0,0.813794813284074,0.0,1.0,0.0
74,0,0.0,0.0,0.5071019634934565,0.0,1.0,0.0
75,0,0.0,0.0,0.004007071409493634,0.0,1.0,0.0
76,0,0.0,0.0,0.0,0.007504189922575399,0.0,-6.0
77,0,0.0,0.0,0.6918251693736656,0.0,1.0,0.0
78,0,0.0,0.0,0.5650537999340155,0.0,1.0,0.0
79,0,0.0,0.0,0.22664304165430593,0.0,1.0,0.0
80,0,0.0,0.0,0.0,0.26879211645352274,0.0,-6.0
81,0,0.0,0.0,0.6658433421541129,0.0,1.0,0.0
82,0,0.0,0.0,0.0,0.058006146052439256,0.0,-6.0
83,0,0.0,0.0,0.673792357797815,0.0,1.0,0.0
84,0,0.0,0.0,0.8280844376630434,0.0,1.0,0.0
85,0,0.0,0.0,0.5225431790013799,0.0,1.0,0.0
86,0,0.0,0.0,0.6690675036928625,0.0,1.0,0.0
87,0,0.0,0.0,0.5672247935682362,0.0,1.0,0.0
88,0,0.0,0.0,0.2446921095291552,0.0,1.0,0.0
89,0,0.0,0.0,0.19584725244304957,0.0,1.0,0.0
90,0,0.0,0.0,0.8121720723216922,0.0,1.0,0.0
91,0,0.0,0.0,0.5883586115259251,0.0,1.0,0.0
92,0,0.0,0.0,0.24289398227691095,0.0,1.0,0.0
93,0,0.0,0.0,0.0,0.3922065200072682,0.0,-6.0
94,0,0.0,0.0,0.0,0.24488844797984588,0.0,-6.0
95,0,0.0,0.0,0.0,0.635398303977257,0.0,-6.0
96,0,0.0,0.0,0.8535203521433988,0.0,1.0,0.0
97,0,0.0,0.0,0.1243001673523898,0.0,1.0,0.0
98,0,0.0,0.0,0.30083213789674745,0.0,1.0,0.0
99,0,0.0,0.0,0.10712838133616809,0.0,1.0,0.0
100,0,0.0,0.0,0.726439857669637,0.0,1.0,0.0
101,0,0.0,0.0,0.0,0.13147948293205824,0.0,-6.0
102,0,0.0,0.0,0.6768824468246106,0.0,1.0,0.0
103,0,0.0,0.0,0.6037865908759603,0.0,1.0,0.0
104,0,0.0,0.0,0.0,0.647759321975641,0.0,-6.0
105,0,0.0,0.0,0.0,0.672006876001634,0.0,-6.0
106,0,0.0,0.0,0.0,0.2980841813294317,0.0,-6.0
107,0,0.0,0.0,0.4869591789888572,0.0,1.0,0.0
108,0,0.0,0.0,0.22139242131602832,0.0,1.0,0.0
109,0,0.0,0.0,0.17465568690648092,0.0,1.0,0.0
110,0,0.0,0.0,0.785728022025077,0.0,1.0,0.0
111,0,0.0,0.0,0.3289163364917115,0.0,1.0,0.0
112,0,0.0,0.0,0.36894318638372225,0.0,1.0,0.0
113,0,0.0,0.0,0.4115686698069275,0.0,1.0,0.0
114,0,0.0,0.0,0.4687154114170432,0.0,1.0,0.0
115,0,0.0,0.0,0.3673123244656181,0.0,1.0,0.0
116,0,0.0,0.0,0.0,0.10091708683978329,0.0,-6.0
117,0,0.0,0.0,0.28611756049733295,0.0,1.0,0.0
118,0,0.0,0.0,0.2262578486948683,0.0,1.0,0.0
119,0,0.0,0.0,0.7354466767182258,0.0,1.0,0.0
120,0,0.0,0.0,0.45002917046481616,0.0,1.0,0.0
121,0,0.0,0.0,0.15989658538011065,0.0,1.0,0.0
122,0,0.0,0.0,0.32226652471569284,0.0,1.0,0.0
123,0,0.0,0.0,0.5186824699645319,0.0,1.0,0.0
124,0,0.0,0.0,0.4587373198195168,0.0,1.0,0.0
125,0,0.0,0.0,0.8415195288471979,0.0,1.0,0.0
126,0,0.0,0.0,0.0,0.48183145052786225,0.0,-6.0
127,0,0.0,0.0,0.6776526458312376,0.0,1.0,0.0
128,0,0.0,0.0,0.34858372375252233,0.0,1.0,0.0
129,0,0.0,0.0,0.7171499136144306,0.0,1.0,0.0
