period,product_id,fixed_cost,purchase_cost,holding_cost,stockout_cost,holding_cost_gradient,stockout_cost_gradient
1,0,0.0,0.0,0.0,0.10837283928286123,0.0,-1.0
2,0,0.0,0.0,0.5407605621661046,0.0,1.0,0.0
3,0,0.0,0.0,0.06690863261968005,0.0,1.0,0.0
4,0,0.0,0.0,0.0,0.20058649211043833,0.0,-1.0
5,0,0.0,0.0,0.0,0.3813102486461256,0.0,-1.0
6,0,0.0,0.0,0.5231098372580928,0.0,1.0,0.0
7,0,0.0,0.0,0.2531684266594879,0.0,1.0,0.0
8,0,0.0,0.0,0.3305859188404522,0.0,1.0,0.0
9,0,0.0,0.0,0.39280154035252124,0.0,1.0,0.0
10,0,0.0,0.0,0.05495706646373866,0.0,1.0,0.0
11,0,0.0,0.0,0.49132259264267875,0.0,1.0,0.0
12,0,0.0,0.0,0.3719030912343151,0.0,1.0,0.0
13,0,0.0,0.0,0.0,0.16493504080151689,0.0,-1.0
14,0,0.0,0.0,0.15928320548542418,0.0,1.0,0.0
15,0,0.0,0.0,0.0,0.013116568914122828,0.0,-1.0
16,0,0.0,0.0,0.0,0.25274112763952894,0.0,-1.0
17,0,0.0,0.0,0.4019281356406602,0.0,1.0,0.0
18,0,0.0,0.0,0.048146533251036905,0.0,1.0,0.0
19,0,0.0,0.0,0.18594369918382236,0.0,1.0,0.0
20,0,0.0,0.0,0.0,0.33581530157702477,0.0,-1.0
21,0,0.0,0.0,0.0,0.4347461209199205,0.0,-1.0
22,0,0.0,0.0,0.12285848525782994,0.0,1.0,0.0
23,0,0.0,0.0,0.0727892935806137,0.0,1.0,0.0
24,0,0.0,0.0,0.47464893206930225,0.0,1.0,0.0
25,0,0.0,0.0,0.15311505886481314,0.0,1.0,0.0
26,0,0.0,0.0,0.0,0.11606128486073963,0.0,-1.0
27,0,0.0,0.0,0.5101576630549174,0.0,1.0,0.0
28,0,0.0,0.0,0.4540675044854915,0.0,1.0,0.0
29,0,0.0,0.0,0.21051950364236127,0.0,1.0,0.0
30,0,0.0,0.0,0.0,0.05649753289153758,0.0,-1.0
31,0,0.0,0.0,0.0,0.3278934940419681,0.0,-1.0
32,0,0.0,0.0,0.0,0.0940727678255957,0.0,-1.0
33,0,0.0,0.0,0.0,0.39319343561772746,0.0,-1.0
34,0,0.0,0.0,0.2633511603929325,0.0,1.0,0.0
35,0,0.0,0.0,0.37696130139986805,0.0,1.0,0.0
36,0,0.0,0.0,0.5183737057201512,0.0,1.0,0.0
37,0,0.0,0.0,0.30425542762833735,0.0,1.0,0.0
38,0,0.0,0.0,0.4754235134399485,0.0,1.0,0.0
39,0,0.0,0.0,0.0,0.1396740479316061,0.0,-1.0
40,0,0.0,0.0,0.0,0.07393818744519898,0.0,-1.0
41,0,0.0,0.0,0.0,0.03973741656343177,0.0,-1.0
42,0,0.0,0.0,0.0,0.012945118109266796,0.0,-1.0
43,0,0.0,0.0,0.008852773253320678,0.0,1.0,0.0
44,0,0.0,0.0,0.20019208965256996,0.0,1.0,0.0
45,0,0.0,0.0,0.06688856411774413,0.0,1.0,0.0
46,0,0.0,0.0,0.0,0.33968728168691,0.0,-1.0
47,0,0.0,0.0,0.0,0.26360968956629927,0.0,-1.0
48,0,0.0,0.0,0.0,0.3956195759981552,0.0,-1.0
49,0,0.0,0.0,0.0,0.3902664654718526,0.0,-1.0
50,0,0.0,0.0,0.0,0.42294553605839547,0.0,-1.0
51,0,0.0,0.0,0.0,0.39160525030895754,0.0,-1.0
52,0,0.0,0.0,0.37441057109216924,0.0,1.0,0.0
53,0,0.0,0.0,0.0,0.3845630879765234,0.0,-1.0
54,0,0.0,0.0,0.4812920638444277,0.0,1.0,0.0
55,0,0.0,0.0,0.0,0.23041118789546422,0.0,-1.0
56,0,0.0,0.0,0.0,0.3612589993351403,0.0,-1.0
57,0,0.0,0.0,0.0,0.2971924300364609,0.0,-1.0
58,0,0.0,0.0,0.24766553776667022,0.0,1.0,0.0
59,0,0.0,0.0,0.1282930194027243,0.0,1.0,0.0
60,0,0.0,0.0,0.3099725343755214,0.0,1.0,0.0
61,0,0.0,0.0,0.4317877290507326,0.0,1.0,0.0
62,0,0.0,0.0,0.0,0.2239594141574418,0.0,-1.0
63,0,0.0,0.0,0.0,0.1828537594752656,0.0,-1.0
64,0,0.0,0.0,0.1509462228650944,0.0,1.0,0.0
65,0,0.0,0.0,0.441155749903414,0.0,1.0,0.0
66,0,0.0,0.0,0.5403354906366242,0.0,1.0,0.0
67,0,0.0,0.0,0.14014717082861838,0.0,1.0,0.0
68,0,0.0,0.0,0.031751630265839825,0.0,1.0,0.0
69,0,0.0,0.0,0.509869906830836,0.0,1.0,0.0
70,0,0.0,0.0,0.20518071053709563,0.0,1.0,0.0
71,0,0.0,0.0,0.0,0.33066691881720867,0.0,-1.0
72,0,0.0,0.0,0.005314359103284594,0.0,1.0,0.0
73,0,0.0,0.0,0.0,0.3575024098820859,0.0,-1.0
74,0,0.0,0.0,0.48245417968813376,0.0,1.0,0.0
75,0,0.0,0.0,0.36806756870570245,0.0,1.0,0.0
76,0,0.0,0.0,0.0,0.2593948170626157,0.0,-1.0
77,0,0.0,0.0,0.17307515680244967,0.0,1.0,0.0
78,0,0.0,0.0,0.0,0.4000052494424612,0.0,-1.0
79,0,0.0,0.0,0.4935890786878355,0.0,1.0,0.0
80,0,0.0,0.0,0.0,0.330492260260407,0.0,-1.0
81,0,0.0,0.0,0.40062479270234364,0.0,1.0,0.0
82,0,0.0,0.0,0.2788677402534405,0.0,1.0,0.0
83,0,0.0,0.0,0.0,0.17388365270513673,0.0,-1.0
84,0,0.0,0.0,0.0,0.2555612854123408,0.0,-1.0
85,0,0.0,0.0,0.4170050313493895,0.0,1.0,0.0
86,0,0.0,0.0,0.4205018403575188,0.0,1.0,0.0
87,0,0.0,0.0,0.3398743723387069,0.0,1.0,0.0
88,0,0.0,0.0,0.0,0.1777465052153765,0.0,-1.0
89,0,0.0,0.0,0.0,0.031623301778937685,0.0,-1.0
90,0,0.0,0.0,0.0,0.146214389782373,0.0,-1.0
91,0,0.0,0.0,0.04290687936014492,0.0,1.0,0.0
92,0,0.0,0.0,0.3695672747848293,0.0,1.0,0.0
93,0,0.0,0.0,0.18543789636371977,0.0,1.0,0.0
94,0,0.0,0.0,0.4048867907996795,0.0,1.0,0.0
95,0,0.0,0.0,0.0,0.010838428566551817,0.0,-1.0
96,0,0.0,0.0,0.30031350285616853,0.0,1.0,0.0
97,0,0.0,0.0,0.0,0.2470383710427898,0.0,-1.0
98,0,0.0,0.0,0.0,0.14603570379472675,0.0,-1.0
99,0,0.0,0.0,0.0,0.2869835013345907,0.0,-1.0
100,0,0.0,0.0,0.43944154780191547,0.0,1.0,0.0
101,0,0.0,0.0,0.0,0.22391036450758683,0.0,-1.0
102,0,0.0,0.0,0.07777860649757007,0.0,1.0,0.0
103,0,0.0,0.0,0.0,0.20316734044359508,0.0,-1.0
104,0,0.0,0.0,0.02637342553814359,0.0,1.0,0.0
105,0,0.0,0.0,0.4111276576313153,0.0,1.0,0.0
106,0,0.0,0.0,0.0,0.14028077101361336,0.0,-1.0
107,0,0.0,0.0,0.0,0.2048439290922639,0.0,-1.0
108,0,0.0,0.0,0.386507229035987,0.0,1.0,0.0
109,0,0.0,0.0,0.0,0.42635848395061593,0.0,-1.0
110,0,0.0,0.0,0.0,0.13781033028214817,0.0,-1.0
111,0,0.0,0.0,0.16080162296746747,0.0,1.0,0.0
112,0,0.0,0.0,0.4911794750615972,0.0,1.0,0.0
113,0,0.0,0.0,0.0,0.08356761185744987,0.0,-1.0
114,0,0.0,0.0,0.0,0.0154508218305478,0.0,-1.0
115,0,0.0,0.0,0.0,0.012350562159449407,0.0,-1.0
116,0,0.0,0.0,0.31479736772451317,0.0,1.0,0.0
117,0,0.0,0.0,0.30989255230226287,0.0,1.0,0.0
118,0,0.0,0.0,0.44926939281556855,0.0,1.0,0.0
119,0,0.0,0.0,0.35207272837976167,0.0,1.0,0.0
120,0,0.0,0.0,0.5032487285115583,0.0,1.0,0.0
121,0,0.0,0.0,0.14787066898529067,0.0,1.0,0.0
122,0,0.0,0.0,0.0,0.16195981803106108,0.0,-1.0
123,0,0.0,0.0,0.4386239889878054,0.0,1.0,0.0
124,0,0.0,0.0,0.521775032255742,0.0,1.0,0.0
125,0,0.0,0.0,0.0,0.3688823308517569,0.0,-1.0
126,0,0.0,0.0,0.48923106462979016,0.0,1.0,0.0
127,0,0.0,0.0,0.0,0.057464821807907795,0.0,-1.0
128,0,0.0,0.0,0.3565474595346113,0.0,1.0,0.0
129,0,0.0,0.0,0.0,0.32435181128482315,0.0,-1.0
130,0,0.0,0.0,0.0,0.1159948439172005,0.0,-1.0
131,0,0.0,0.0,0.0,0.2938748289494916,0.0,-1.0
132,0,0.0,0.0,0.0,0.44763336510203366,0.0,-1.0
133,0,0.0,0.0,0.30261692347704006,0.0,1.0,0.0
134,0,0.0,0.0,0.0,0.29776462800279135,0.0,-1.0
135,0,0.0,0.0,0.0,0.304811841610541,0.0,-1.0
136,0,0.0,0.0,0.41122283761182155,0.0,1.0,0.0
137,0,0.0,0.0,0.03608107844924946,0.0,1.0,0.0
138,0,0.0,0.0,0.04541751067960487,0.0,1.0,0.0
139,0,0.0,0.0,0.0,0.1533503739683003,0.0,-1.0
140,0,0.0,0.0,0.0,0.07316235596990295,0.0,-1.0
