period,product_id,starting_inventory_level,starting_inventory_position,order_quantities,interim_inventory_level,interim_inventory_position,demands,sales,unmet_demand
1,0,0.0,0.0,0.0,0.0,0.0,0.808091573927627,0.0,0.808091573927627
2,0,0.0,0.0,0.0,0.0,0.0,0.6227811236886909,0.0,0.6227811236886909
3,0,0.0,0.0,0.0,0.0,0.0,0.6419853674264453,0.0,0.6419853674264453
4,0,0.0,0.0,0.0,0.0,0.0,0.8926141248942794,0.0,0.8926141248942794
5,0,0.0,0.0,0.0,0.0,0.0,0.3753749867181124,0.0,0.3753749867181124
6,0,0.0,0.0,0.0,0.0,0.0,0.20741241120071552,0.0,0.20741241120071552
7,0,0.0,0.0,0.0,0.0,0.0,0.9371927492329912,0.0,0.9371927492329912
8,0,0.0,0.0,0.0,0.0,0.0,0.10512698837349965,0.0,0.10512698837349965
9,0,0.0,0.0,0.0,0.0,0.0,0.30752726028664024,0.0,0.30752726028664024
10,0,0.0,0.0,0.0,0.0,0.0,0.33298202017777223,0.0,0.33298202017777223
11,0,0.0,0.0,0.0,0.0,0.0,0.7944739302339662,0.0,0.7944739302339662
12,0,0.0,0.0,0.0,0.0,0.0,0.042827320883268905,0.0,0.042827320883268905
13,0,0.0,0.0,0.0,0.0,0.0,0.6123015453867495,0.0,0.6123015453867495
14,0,0.0,0.0,0.0,0.0,0.0,0.1999021166264311,0.0,0.1999021166264311
15,0,0.0,0.0,0.0,0.0,0.0,0.7239262741136661,0.0,0.7239262741136661
16,0,0.0,0.0,0.0,0.0,0.0,0.9178430091411434,0.0,0.9178430091411434
17,0,0.0,0.0,0.0,0.0,0.0,0.7632311403660623,0.0,0.7632311403660623
18,0,0.0,0.0,0.0,0.0,0.0,0.7008224331263695,0.0,0.7008224331263695
19,0,0.0,0.0,0.0,0.0,0.0,0.4553867265242887,0.0,0.4553867265242887
20,0,0.0,0.0,0.0,0.0,0.0,0.4429712261938066,0.0,0.4429712261938066
21,0,0.0,0.0,0.0,0.0,0.0,0.7568912907472639,0.0,0.7568912907472639
22,0,0.0,0.0,0.0,0.0,0.0,0.036314617652725034,0.0,0.036314617652725034
23,0,0.0,0.0,0.0,0.0,0.0,0.8462099132528846,0.0,0.8462099132528846
24,0,0.0,0.0,0.0,0.0,0.0,0.1363839559514194,0.0,0.1363839559514194
25,0,0.0,0.0,0.0,0.0,0.0,0.6683791419412372,0.0,0.6683791419412372
26,0,0.0,0.0,0.0,0.0,0.0,0.5363592938447017,0.0,0.5363592938447017
27,0,0.0,0.0,0.0,0.0,0.0,0.5855458143339998,0.0,0.5855458143339998
28,0,0.0,0.0,0.0,0.0,0.0,0.8471057325872159,0.0,0.8471057325872159
29,0,0.0,0.0,0.0,0.0,0.0,0.8725777823443507,0.0,0.8725777823443507
30,0,0.0,0.0,0.0,0.0,0.0,0.7148296476917314,0.0,0.7148296476917314
31,0,0.0,0.0,0.0,0.0,0.0,0.6660342434183147,0.0,0.6660342434183147
32,0,0.0,0.0,0.0,0.0,0.0,0.6705298048470434,0.0,0.6705298048470434
33,0,0.0,0.0,0.0,0.0,0.0,0.7588299572014925,0.0,0.7588299572014925
34,0,0.0,0.0,0.0,0.0,0.0,0.5979788981344499,0.0,0.5979788981344499
35,0,0.0,0.0,0.0,0.0,0.0,0.25431345719628695,0.0,0.25431345719628695
36,0,0.0,0.0,0.0,0.0,0.0,0.37620218985587606,0.0,0.37620218985587606
37,0,0.0,0.0,0.0,0.0,0.0,0.21848070512245166,0.0,0.21848070512245166
38,0,0.0,0.0,0.0,0.0,0.0,0.18584069302765305,0.0,0.18584069302765305
39,0,0.0,0.0,0.0,0.0,0.0,0.5045218128284884,0.0,0.5045218128284884
40,0,0.0,0.0,0.0,0.0,0.0,0.6978908331295912,0.0,0.6978908331295912
41,0,0.0,0.0,0.0,0.0,0.0,0.9425963156338663,0.0,0.9425963156338663
42,0,0.0,0.0,0.0,0.0,0.0,0.6043445587216776,0.0,0.6043445587216776
43,0,0.0,0.0,0.0,0.0,0.0,0.7594438463771589,0.0,0.7594438463771589
44,0,0.0,0.0,0.0,0.0,0.0,0.8556916481104513,0.0,0.8556916481104513
45,0,0.0,0.0,0.0,0.0,0.0,0.9958358826683692,0.0,0.9958358826683692
46,0,0.0,0.0,0.0,0.0,0.0,0.316509883492505,0.0,0.316509883492505
47,0,0.0,0.0,0.0,0.0,0.0,0.9383035814091734,0.0,0.9383035814091734
48,0,0.0,0.0,0.0,0.0,0.0,0.7671876252244548,0.0,0.7671876252244548
49,0,0.0,0.0,0.0,0.0,0.0,0.6076515413860077,0.0,0.6076515413860077
50,0,0.0,0.0,0.0,0.0,0.0,0.8061278362943047,0.0,0.8061278362943047
51,0,0.0,0.0,0.0,0.0,0.0,0.5440134675154349,0.0,0.5440134675154349
52,0,0.0,0.0,0.0,0.0,0.0,0.4596432144339111,0.0,0.4596432144339111
53,0,0.0,0.0,0.0,0.0,0.0,0.6682781745394986,0.0,0.6682781745394986
54,0,0.0,0.0,0.0,0.0,0.0,0.010852378900654491,0.0,0.010852378900654491
55,0,0.0,0.0,0.0,0.0,0.0,0.828270875588505,0.0,0.828270875588505
56,0,0.0,0.0,0.0,0.0,0.0,0.6009070182269912,0.0,0.6009070182269912
57,0,0.0,0.0,0.0,0.0,0.0,0.9346224332928763,0.0,0.9346224332928763
58,0,0.0,0.0,0.0,0.0,0.0,0.9371664861044089,0.0,0.9371664861044089
59,0,0.0,0.0,0.0,0.0,0.0,0.677450242610293,0.0,0.677450242610293
60,0,0.0,0.0,0.0,0.0,0.0,0.3673824508683391,0.0,0.3673824508683391
61,0,0.0,0.0,0.0,0.0,0.0,0.26024244050759715,0.0,0.26024244050759715
62,0,0.0,0.0,0.0,0.0,0.0,0.45844613398697076,0.0,0.45844613398697076
63,0,0.0,0.0,0.0,0.0,0.0,0.06935500495660007,0.0,0.06935500495660007
64,0,0.0,0.0,0.0,0.0,0.0,0.3908782991945873,0.0,0.3908782991945873
65,0,0.0,0.0,0.0,0.0,0.0,0.8273715521855148,0.0,0.8273715521855148
66,0,0.0,0.0,0.0,0.0,0.0,0.3323556789449994,0.0,0.3323556789449994
67,0,0.0,0.0,0.0,0.0,0.0,0.5841072709157787,0.0,0.5841072709157787
68,0,0.0,0.0,0.0,0.0,0.0,0.9834542271260885,0.0,0.9834542271260885
69,0,0.0,0.0,0.0,0.0,0.0,0.9023026824399546,0.0,0.9023026824399546
70,0,0.0,0.0,0.0,0.0,0.0,0.36737254006550046,0.0,0.36737254006550046
71,0,0.0,0.0,0.0,0.0,0.0,0.26965573000241505,0.0,0.26965573000241505
72,0,0.0,0.0,0.0,0.0,0.0,0.9144004559814453,0.0,0.9144004559814453
73,0,0.0,0.0,0.0,0.0,0.0,0.2115635864209119,0.0,0.2115635864209119
74,0,0.0,0.0,0.0,0.0,0.0,0.76961203579366,0.0,0.76961203579366
75,0,0.0,0.0,0.0,0.0,0.0,0.5478103340191924,0.0,0.5478103340191924
76,0,0.0,0.0,0.0,0.0,0.0,0.6692627994679587,0.0,0.6692627994679587
77,0,0.0,0.0,0.0,0.0,0.0,0.3755986291100407,0.0,0.3755986291100407
78,0,0.0,0.0,0.0,0.0,0.0,0.027889400513078977,0.0,0.027889400513078977
79,0,0.0,0.0,0.0,0.0,0.0,0.8878923167689384,0.0,0.8878923167689384
80,0,0.0,0.0,0.0,0.0,0.0,0.7051342557404384,0.0,0.7051342557404384
81,0,0.0,0.0,0.0,0.0,0.0,0.6914446964515528,0.0,0.6914446964515528
82,0,0.0,0.0,0.0,0.0,0.0,0.7431878194022014,0.0,0.7431878194022014
83,0,0.0,0.0,0.0,0.0,0.0,0.179504698098211,0.0,0.179504698098211
84,0,0.0,0.0,0.0,0.0,0.0,0.526047523154312,0.0,0.526047523154312
