period,product_id,starting_inventory_level,starting_inventory_position,order_quantities,interim_inventory_level,interim_inventory_position,demands,sales,unmet_demand
1,0,0.0,0.0,0.0,0.0,0.0,0.40283274126438307,0.0,0.40283274126438307
2,0,0.0,0.0,0.009820927516479826,0.009820927516479826,0.009820927516479826,0.13969982510933798,0.009820927516479826,0.12987889759285814
3,0,0.0,0.0,0.01783968125522463,0.01783968125522463,0.01783968125522463,0.5621110623902614,0.01783968125522463,0.5442713811350368
4,0,0.0,0.0,0.024784125699669073,0.024784125699669073,0.024784125699669073,0.45982560823710295,0.024784125699669073,0.43504148253743385
5,0,0.0,0.0,0.030995425637168488,0.030995425637168488,0.030995425637168488,0.15212812036322665,0.030995425637168488,0.12113269472605816
6,0,0.0,0.0,0.03666554078249992,0.03666554078249992,0.03666554078249992,0.9003317762867997,0.03666554078249992,0.8636662355042998
7,0,0.0,0.0,0.04191504735207252,0.04191504735207252,0.04191504735207252,0.7759298037233809,0.04191504735207252,0.7340147563713084
8,0,0.0,0.0,0.04682551111031243,0.04682551111031243,0.04682551111031243,0.40794959204368264,0.04682551111031243,0.36112408093337023
9,0,0.0,0.0,0.05145514073994206,0.05145514073994206,0.05145514073994206,0.6517083198326209,0.05145514073994206,0.6002531790926788
10,0,0.0,0.0,0.05584719304573148,0.05584719304573148,0.05584719304573148,0.9263521123640994,0.05584719304573148,0.8705049193183679
11,0,0.0,0.0,0.060034850609311526,0.060034850609311526,0.060034850609311526,0.3745959322255614,0.060034850609311526,0.3145610816162499
12,0,0.0,0.0,0.06404422747868392,0.06404422747868392,0.06404422747868392,0.2829816561675206,0.06404422747868392,0.21893742868883664
13,0,0.0,0.0,0.06789631217469246,0.06789631217469246,0.06789631217469246,0.1395854905388716,0.06789631217469246,0.07168917836417914
14,0,0.0,0.0,0.07160827386792057,0.07160827386792057,0.07160827386792057,0.9043481953798321,0.07160827386792057,0.8327399215119116
15,0,0.0,0.0,0.07519436955885336,0.07519436955885336,0.07519436955885336,0.36513165988917506,0.07519436955885336,0.2899372903303217
16,0,0.0,0.0,0.07866659178107559,0.07866659178107559,0.07866659178107559,0.17281454592622858,0.07866659178107559,0.09414795414515299
17,0,0.0,0.0,0.08203514212880243,0.08203514212880243,0.08203514212880243,0.3376012280303119,0.08203514212880243,0.2555660859015095
18,0,0.0,0.0,0.08530878463429571,0.08530878463429571,0.08530878463429571,0.35927742857984835,0.08530878463429571,0.27396864394555265
19,0,0.0,0.0,0.08849511427138684,0.08849511427138684,0.08849511427138684,0.6220796750495544,0.08849511427138684,0.5335845607781675
20,0,0.0,0.0,0.09160076424013655,0.09160076424013655,0.09160076424013655,0.1726742550475726,0.09160076424013655,0.08107349080743606
21,0,0.0,0.0,0.094631568271192,0.094631568271192,0.094631568271192,0.12587020127600668,0.094631568271192,0.031238633004814678
22,0,0.0,0.0,0.09759268933168659,0.09759268933168659,0.09759268933168659,0.6948702475920718,0.09759268933168659,0.5972775582603852
