period,product_id,starting_inventory_level,starting_inventory_position,order_quantities,interim_inventory_level,interim_inventory_position,demands,sales,unmet_demand
1,0,0.0,0.0,0.0,0.0,0.0,0.5049502447775249,0.0,0.5049502447775249
2,0,0.0,0.0,0.795495128834866,0.795495128834866,0.795495128834866,0.02206436389787192,0.02206436389787192,0.0
3,0,0.773430764936994,0.773430764936994,0.0,0.773430764936994,0.773430764936994,0.3082452137967169,0.3082452137967169,0.0
4,0,0.46518555114027715,0.46518555114027715,0.0,0.46518555114027715,0.46518555114027715,0.8334379757671967,0.46518555114027715,0.36825242462691954
5,0,0.0,0.0,0.5031152949374527,0.5031152949374527,0.5031152949374527,0.729207589838005,0.5031152949374527,0.22609229490055238
6,0,0.0,0.0,0.9623946217092987,0.9623946217092987,0.9623946217092987,0.837929853782159,0.837929853782159,0.0
7,0,0.12446476792713967,0.12446476792713967,0.7906842946560056,0.9151490625831453,0.9151490625831453,0.35827500636143994,0.35827500636143994,0.0
8,0,0.5568740562217054,0.5568740562217054,0.18961606461014102,0.7464901208318464,0.7464901208318464,0.556839995687862,0.556839995687862,0.0
9,0,0.18965012514398438,0.18965012514398438,0.0,0.18965012514398438,0.18965012514398438,0.765455683353373,0.18965012514398438,0.5758055582093886
10,0,0.0,0.0,0.3557562367689427,0.3557562367689427,0.3557562367689427,0.11253137766309018,0.11253137766309018,0.0
11,0,0.2432248591058525,0.2432248591058525,0.07484245959086971,0.3180673186967222,0.3180673186967222,0.8790381405643167,0.3180673186967222,0.5609708218675945
12,0,0.0,0.0,0.39960198601003427,0.39960198601003427,0.39960198601003427,0.4453555294985839,0.39960198601003427,0.04575354348854965
13,0,0.0,0.0,0.7116208463867257,0.7116208463867257,0.7116208463867257,0.8308157657728891,0.7116208463867257,0.11919491938616333
14,0,0.0,0.0,1.0,1.0,1.0,0.5184783340517168,0.5184783340517168,0.0
15,0,0.48152166594828316,0.48152166594828316,0.48620347283332166,0.9677251387816048,0.9677251387816048,0.7265342093584032,0.7265342093584032,0.0
16,0,0.24119092942320164,0.24119092942320164,0.21376254341012002,0.45495347283332166,0.45495347283332166,0.40467337030336614,0.40467337030336614,0.0
17,0,0.05028010252995552,0.05028010252995552,0.13316548775062287,0.18344559028057839,0.18344559028057839,0.2106879257381571,0.18344559028057839,0.027242335457578704
18,0,0.0,0.0,0.3983305306955782,0.3983305306955782,0.3983305306955782,0.3195642438436114,0.3195642438436114,0.0
19,0,0.07876628685196685,0.07876628685196685,0.2908872771097912,0.369653563961758,0.369653563961758,0.18815021619015138,0.18815021619015138,0.0
20,0,0.18150334777160665,0.18150334777160665,0.08143307961943713,0.2629364273910438,0.2629364273910438,0.2733502656906669,0.2629364273910438,0.010413838299623113
21,0,0.0,0.0,0.32692820613492857,0.32692820613492857,0.32692820613492857,0.6192464076957646,0.32692820613492857,0.292318201560836
22,0,0.0,0.0,0.5667790120349903,0.5667790120349903,0.5667790120349903,0.5136584024075561,0.5136584024075561,0.0
23,0,0.053120609627434145,0.053120609627434145,0.48759410065042175,0.5407147102778559,0.5407147102778559,0.0666083924720986,0.0666083924720986,0.0
24,0,0.4741063178057573,0.4741063178057573,0.0,0.4741063178057573,0.4741063178057573,0.6932700114135513,0.4741063178057573,0.21916369360779397
