period,product_id,fixed_cost,purchase_cost,holding_cost,stockout_cost,holding_cost_gradient,stockout_cost_gradient
1,0,0.0,0.0,0.0,252.24474165442766,0.0,-11.024909452425138
2,0,0.0,0.0,0.4398147837814703,0.0,5.836039190663969,0.0
3,0,0.0,0.0,16.434595384560193,0.0,5.836039190663969,0.0
4,0,0.0,0.0,0.0,504.12072124543363,0.0,-11.024909452425138
5,0,0.0,0.0,0.0,631.5947759525411,0.0,-11.024909452425138
6,0,0.0,0.0,0.0,207.29625157503057,0.0,-11.024909452425138
7,0,0.0,0.0,285.7251337598495,0.0,5.836039190663969,0.0
8,0,0.0,0.0,196.3638305292719,0.0,5.836039190663969,0.0
9,0,0.0,0.0,111.73233082108892,0.0,5.836039190663969,0.0
10,0,0.0,0.0,0.0,36.41537180781636,0.0,-11.024909452425138
11,0,0.0,0.0,0.0,723.5934585146819,0.0,-11.024909452425138
12,0,0.0,0.0,0.0,789.7891439299053,0.0,-11.024909452425138
13,0,0.0,0.0,0.0,539.0227734638845,0.0,-11.024909452425138
14,0,0.0,0.0,0.0,373.6706288270812,0.0,-11.024909452425138
15,0,0.0,0.0,0.0,637.2311775054983,0.0,-11.024909452425138
16,0,0.0,0.0,9.402648113184554,0.0,5.836039190663969,0.0
17,0,0.0,0.0,0.0,583.4007527223881,0.0,-11.024909452425138
18,0,0.0,0.0,0.0,516.5130265338813,0.0,-11.024909452425138
19,0,0.0,0.0,98.5755624673308,0.0,5.836039190663969,0.0
20,0,0.0,0.0,163.40087431231083,0.0,5.836039190663969,0.0
21,0,0.0,0.0,109.92571123674534,0.0,5.836039190663969,0.0
22,0,0.0,0.0,0.0,881.9225146228454,0.0,-11.024909452425138
23,0,0.0,0.0,0.0,537.5403243086494,0.0,-11.024909452425138
24,0,0.0,0.0,0.0,168.21990069929947,0.0,-11.024909452425138
25,0,0.0,0.0,0.0,511.83855290022285,0.0,-11.024909452425138
26,0,0.0,0.0,0.0,311.0983772152044,0.0,-11.024909452425138
27,0,0.0,0.0,0.0,632.7468434818535,0.0,-11.024909452425138
28,0,0.0,0.0,52.73390390745368,0.0,5.836039190663969,0.0
29,0,0.0,0.0,0.0,751.1904549317379,0.0,-11.024909452425138
30,0,0.0,0.0,0.0,693.5524547365318,0.0,-11.024909452425138
31,0,0.0,0.0,0.0,604.9234503265213,0.0,-11.024909452425138
32,0,0.0,0.0,0.0,765.1771068417307,0.0,-11.024909452425138
33,0,0.0,0.0,0.0,70.86695558588768,0.0,-11.024909452425138
34,0,0.0,0.0,0.0,484.1679281121972,0.0,-11.024909452425138
35,0,0.0,0.0,148.6747640594953,0.0,5.836039190663969,0.0
36,0,0.0,0.0,0.0,66.08299514593718,0.0,-11.024909452425138
37,0,0.0,0.0,0.0,517.2603200706676,0.0,-11.024909452425138
38,0,0.0,0.0,0.0,920.6175483342028,0.0,-11.024909452425138
39,0,0.0,0.0,0.0,726.8898828251147,0.0,-11.024909452425138
40,0,0.0,0.0,21.982262630423534,0.0,5.836039190663969,0.0
41,0,0.0,0.0,0.0,698.263240737091,0.0,-11.024909452425138
42,0,0.0,0.0,0.0,6.5509842468196355,0.0,-11.024909452425138
43,0,0.0,0.0,0.0,743.6220580689902,0.0,-11.024909452425138
44,0,0.0,0.0,0.0,712.0359158432456,0.0,-11.024909452425138
45,0,0.0,0.0,0.0,800.7328614114053,0.0,-11.024909452425138
46,0,0.0,0.0,0.0,867.9749669368379,0.0,-11.024909452425138
47,0,0.0,0.0,100.45052172584829,0.0,5.836039190663969,0.0
48,0,0.0,0.0,115.28730253800714,0.0,5.836039190663969,0.0
49,0,0.0,0.0,0.0,528.4189932122575,0.0,-11.024909452425138
50,0,0.0,0.0,0.0,117.2547193432725,0.0,-11.024909452425138
51,0,0.0,0.0,0.0,793.9474292763977,0.0,-11.024909452425138
52,0,0.0,0.0,0.0,190.20445239759084,0.0,-11.024909452425138
53,0,0.0,0.0,30.325709755152094,0.0,5.836039190663969,0.0
54,0,0.0,0.0,9.809930082621493,0.0,5.836039190663969,0.0
55,0,0.0,0.0,0.0,446.4673755626278,0.0,-11.024909452425138
56,0,0.0,0.0,0.0,943.2461763563696,0.0,-11.024909452425138
57,0,0.0,0.0,0.0,1054.6477161529813,0.0,-11.024909452425138
58,0,0.0,0.0,0.0,771.2105075104797,0.0,-11.024909452425138
59,0,0.0,0.0,0.0,18.611886245405284,0.0,-11.024909452425138
60,0,0.0,0.0,0.0,997.988267165038,0.0,-11.024909452425138
61,0,0.0,0.0,17.44265703120466,0.0,5.836039190663969,0.0
62,0,0.0,0.0,0.0,108.45644706276478,0.0,-11.024909452425138
63,0,0.0,0.0,0.0,787.7982717869008,0.0,-11.024909452425138
64,0,0.0,0.0,0.0,136.0353173772474,0.0,-11.024909452425138
65,0,0.0,0.0,0.0,367.41584976532477,0.0,-11.024909452425138
66,0,0.0,0.0,0.0,338.03738809425147,0.0,-11.024909452425138
67,0,0.0,0.0,0.0,104.3935241645783,0.0,-11.024909452425138
68,0,0.0,0.0,0.0,591.6203654707723,0.0,-11.024909452425138
69,0,0.0,0.0,0.0,14.01585363037761,0.0,-11.024909452425138
70,0,0.0,0.0,0.0,372.8086827336476,0.0,-11.024909452425138
71,0,0.0,0.0,0.0,649.1801791763108,0.0,-11.024909452425138
72,0,0.0,0.0,0.0,261.5995062165924,0.0,-11.024909452425138
73,0,0.0,0.0,0.0,762.6641457091703,0.0,-11.024909452425138
74,0,0.0,0.0,0.0,377.044331720305,0.0,-11.024909452425138
75,0,0.0,0.0,71.60324749334642,0.0,5.836039190663969,0.0
76,0,0.0,0.0,0.0,632.2509432232828,0.0,-11.024909452425138
77,0,0.0,0.0,0.0,796.3335203144624,0.0,-11.024909452425138
78,0,0.0,0.0,0.0,520.4639883684366,0.0,-11.024909452425138
79,0,0.0,0.0,0.0,685.1012452341271,0.0,-11.024909452425138
80,0,0.0,0.0,0.0,627.5579045243045,0.0,-11.024909452425138
81,0,0.0,0.0,0.0,348.68501338068165,0.0,-11.024909452425138
82,0,0.0,0.0,0.0,400.1257029327189,0.0,-11.024909452425138
83,0,0.0,0.0,0.0,197.74241783226026,0.0,-11.024909452425138
84,0,0.0,0.0,0.0,519.5148889244042,0.0,-11.024909452425138
85,0,0.0,0.0,0.0,23.92829936807435,0.0,-11.024909452425138
86,0,0.0,0.0,0.0,319.065736045332,0.0,-11.024909452425138
87,0,0.0,0.0,0.0,230.25994079628484,0.0,-11.024909452425138
88,0,0.0,0.0,86.4653509596903,0.0,5.836039190663969,0.0
89,0,0.0,0.0,0.0,278.3190648339692,0.0,-11.024909452425138
90,0,0.0,0.0,0.0,261.71194437922185,0.0,-11.024909452425138
91,0,0.0,0.0,0.0,221.37950568059298,0.0,-11.024909452425138
92,0,0.0,0.0,30.50534979330733,0.0,5.836039190663969,0.0
93,0,0.0,0.0,0.0,793.5687435572734,0.0,-11.024909452425138
94,0,0.0,0.0,0.0,692.2526976820391,0.0,-11.024909452425138
95,0,0.0,0.0,0.0,496.94636725437283,0.0,-11.024909452425138
96,0,0.0,0.0,0.0,781.8624766603434,0.0,-11.024909452425138
97,0,0.0,0.0,0.0,436.5727482207852,0.0,-11.024909452425138
98,0,0.0,0.0,0.0,146.72035326130973,0.0,-11.024909452425138
99,0,0.0,0.0,0.0,660.7720214390364,0.0,-11.024909452425138
100,0,0.0,0.0,0.0,244.1164594890615,0.0,-11.024909452425138
101,0,0.0,0.0,0.0,829.8223515714657,0.0,-11.024909452425138
